Timestamp	Filename	Error	Message
2021-05-26 13:48:34.945 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 13:48:34.946 +0300	Alıcı Hesap Listesi Çekme	0	script steps imported : 1
2021-05-26 13:48:34.947 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 13:49:42.199 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 13:49:42.202 +0300	Alıcı Hesap Listesi Çekme	0	script steps imported : 1
2021-05-26 13:49:42.202 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 16:06:04.919 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 16:06:04.923 +0300	Alıcı Hesap Listesi Çekme	0	script steps imported : 1
2021-05-26 16:06:04.924 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 16:06:24.068 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 16:06:24.071 +0300	Alıcı Hesap Listesi Çekme::17::Insert from URL::Field	10	Attribute “id” missing.
2021-05-26 16:06:24.072 +0300	Alıcı Hesap Listesi Çekme	0	script steps imported : 1
2021-05-26 16:06:24.072 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 16:40:25.499 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 16:40:25.502 +0300	Hesap Detayı Çek::6::Insert from URL::Field	10	Attribute “id” missing.
2021-05-26 16:40:25.503 +0300	Hesap Detayı Çek	0	script steps imported : 2
2021-05-26 16:40:25.503 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 17:14:49.427 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 17:14:49.432 +0300	Alıcı Hesap Listesi Çekme	0	script steps imported : 1
2021-05-26 17:14:49.433 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 17:16:48.070 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 17:16:48.071 +0300	Alıcı Hesap Listesi Çekme	0	script steps imported : 3
2021-05-26 17:16:48.071 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 17:20:09.734 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 17:20:09.737 +0300	Alıcı Hesap Listesi Çekme	0	script steps imported : 1
2021-05-26 17:20:09.737 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 17:53:09.522 +0300	ETRMUSAVIR.fmp12	0	Import of script steps from clipboard started
2021-05-26 17:53:09.524 +0300	Hesap Detayı Çek	0	script steps imported : 1
2021-05-26 17:53:09.525 +0300	ETRMUSAVIR.fmp12	0	Import completed
2021-05-26 17:58:18.364 +0300	ETRMUSAVIR.fmp12	0	Import of scripts from clipboard started
2021-05-26 17:58:18.367 +0300	ETRMUSAVIR.fmp12	0	Script “Alıcı Hesap Listesi Çekme” imported as “Alıcı Hesap Listesi Çekme 2” since a script named “Alıcı Hesap Listesi Çekme” already exists.
2021-05-26 17:58:18.368 +0300	ETRMUSAVIR.fmp12	0	Script “Alıcı Hesap Listesi Kayıt Aç” imported as “Alıcı Hesap Listesi Kayıt Aç 2” since a script named “Alıcı Hesap Listesi Kayıt Aç” already exists.
