Timestamp	Filename	Error	Message
2021-12-09 15:00:54.450 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of scripts from clipboard started
2021-12-09 15:00:54.451 +0300	ETRMUSAVIR_v0.5.fmp12	0	Script “BaslaButton” imported as “BaslaButton 2” since a script named “BaslaButton” already exists.
2021-12-09 15:00:54.453 +0300	BaslaButton 2	0	script steps imported : 5
2021-12-09 15:00:54.454 +0300	ETRMUSAVIR_v0.5.fmp12	0	scripts imported : 1
2021-12-09 15:00:54.455 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:01:07.796 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of scripts from clipboard started
2021-12-09 15:01:07.798 +0300	ETRMUSAVIR_v0.5.fmp12	0	Script “GeriButton” imported as “GeriButton 2” since a script named “GeriButton” already exists.
2021-12-09 15:01:07.800 +0300	GeriButton 2	0	script steps imported : 5
2021-12-09 15:01:07.800 +0300	ETRMUSAVIR_v0.5.fmp12	0	scripts imported : 1
2021-12-09 15:01:07.801 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:03:22.237 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:03:22.239 +0300	IleriButton	0	script steps imported : 2
2021-12-09 15:03:22.239 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:05:14.812 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:05:14.813 +0300	GeriButton	0	script steps imported : 5
2021-12-09 15:05:14.814 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:06:27.654 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:06:27.656 +0300	GeriButton	0	script steps imported : 2
2021-12-09 15:06:27.656 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:06:58.274 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of scripts from clipboard started
2021-12-09 15:06:58.322 +0300	ETRMUSAVIR_v0.5.fmp12	0	Script “IleriButton” imported as “IleriButton 2” since a script named “IleriButton” already exists.
2021-12-09 15:06:58.387 +0300	IleriButton 2	0	script steps imported : 15
2021-12-09 15:06:58.445 +0300	ETRMUSAVIR_v0.5.fmp12	0	scripts imported : 1
2021-12-09 15:06:58.446 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:07:09.896 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:07:09.898 +0300	IleriButton	0	script steps imported : 6
2021-12-09 15:07:09.898 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:07:54.544 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:07:54.545 +0300	IleriButton	0	script steps imported : 3
2021-12-09 15:07:54.546 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:19:26.708 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:19:26.710 +0300	GeriButton1	0	script steps imported : 7
2021-12-09 15:19:26.710 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:23:15.357 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:23:15.359 +0300	GeriButton1	0	script steps imported : 11
2021-12-09 15:23:15.360 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:25:26.801 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:25:26.808 +0300	Kaydet	0	script steps imported : 38
2021-12-09 15:25:26.808 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:38:46.509 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of script steps from clipboard started
2021-12-09 15:38:46.510 +0300	Sıfırla	0	script steps imported : 1
2021-12-09 15:38:46.510 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:39:12.892 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import operations started
2021-12-09 15:39:12.894 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import of fields from clipboard started
2021-12-09 15:39:12.896 +0300	MUSAVIR	0	fields imported : 1
2021-12-09 15:39:12.896 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import completed
2021-12-09 15:39:14.372 +0300	ETRMUSAVIR_v0.5.fmp12	0	Import operations committed
2021-12-09 15:39:14.372 +0300	ETRMUSAVIR_v0.5.fmp12	0	==================================================================
2021-12-10 15:06:07.703 +0300	ETRMUSAVIR_v0.5.1.fmp12	0	Import of script steps from clipboard started
2021-12-10 15:06:07.707 +0300	IleriButton	0	script steps imported : 1
2021-12-10 15:06:07.707 +0300	ETRMUSAVIR_v0.5.1.fmp12	0	Import completed
